name,rating,price,url
Douglas Costa de Souza,82,35000,https://www.futbin.com/18/player/380/Douglas%20Costa
Ángel Di María,85,34500,https://www.futbin.com/18/player/191/Di%20Mar%C3%ADa
Alejandro Gómez,84,32500,https://www.futbin.com/18/player/222/G%C3%B3mez
Leon Goretzka,82,31750,https://www.futbin.com/18/player/415/Goretzka
Virgil van Dijk,83,31000,https://www.futbin.com/18/player/308/van%20Dijk
Moussa Dembélé,82,31000,https://www.futbin.com/18/player/337/Demb%C3%A9l%C3%A9
Andrés Iniesta Luján,87,30000,https://www.futbin.com/18/player/119/Iniesta
Filipe Luís Kasmirski,85,29250,https://www.futbin.com/18/player/185/Filipe%20Lu%C3%ADs
Alessandro Florenzi,82,29000,https://www.futbin.com/18/player/401/Florenzi
Francesc Fàbregas i Soler,86,29000,https://www.futbin.com/18/player/151/Cesc%20F%C3%A0bregas
Gerard Piqué Bernabeu,87,29000,https://www.futbin.com/18/player/121/Piqu%C3%A9
Franck Ribéry,86,28500,https://www.futbin.com/18/player/150/Rib%C3%A9ry
Samir Handanovič,87,28250,https://www.futbin.com/18/player/122/Handanovi%C4%8D
Ander Herrera Agüera,84,28000,https://www.futbin.com/18/player/240/Ander%20Herrera
Diego Godín,88,28000,https://www.futbin.com/18/player/98/God%C3%ADn
David Josué Jimenez Silva,87,27500,https://www.futbin.com/18/player/123/David%20Silva
Yannick Carrasco,85,27500,https://www.futbin.com/18/player/205/Carrasco
Lorenzo Insigne,85,24500,https://www.futbin.com/18/player/202/Insigne
Tiémoué Bakayoko,82,23250,https://www.futbin.com/18/player/426/Bakayoko
Javier Martínez Aginaga,86,23000,https://www.futbin.com/18/player/156/Javi%20Martinez
Laurent Koscielny,84,23000,https://www.futbin.com/18/player/225/Koscielny
Roberto Firmino Barbosa de Oliveira,83,22000,https://www.futbin.com/18/player/307/Roberto%20Firmino
Jan Vertonghen,85,22000,https://www.futbin.com/18/player/188/Vertonghen
Yaya Touré,83,21500,https://www.futbin.com/18/player/260/Tour%C3%A9
Heung Min Son,82,20250,https://www.futbin.com/18/player/392/Son
Ederson Santana de Moraes,83,20000,https://www.futbin.com/18/player/317/Ederson
Nélson Cabral Semedo,81,20000,https://www.futbin.com/18/player/518/N%C3%A9lson%20Semedo
Serge Aurier,81,19750,https://www.futbin.com/18/player/485/Aurier
Héctor Bellerín Moruno,81,18750,https://www.futbin.com/18/player/499/H%C3%A9ctor%20Beller%C3%ADn
